LNKD,2020-10-23,96.74
LNKD,2020-10-24,95.57
LNKD,2020-10-25,79.94
LNKD,2020-10-26,38.45
MSFT,2020-11-2,65.0
MSFT,2020-11-3,26.98
MSFT,2020-11-4,55.69
MSFT,2020-11-5,90.19
MSFT,2020-11-6,62.83
MSFT,2020-11-7,44.54
MSFT,2020-11-8,42.94
MSFT,2020-11-9,98.5
TWTR,2020-12-13,82.58
TWTR,2020-12-14,83.58
TWTR,2020-12-15,70.56
TWTR,2020-12-16,54.61
TWTR,2020-12-17,48.66
TWTR,2020-12-18,51.4
TWTR,2020-12-19,82.56
TWTR,2020-12-20,99.59
TWTR,2020-12-21,51.22
TWTR,2020-12-22,53.61
CSCO,2020-10-25,78.42
CSCO,2020-10-26,98.24
CSCO,2020-10-27,93.73
CSCO,2020-10-28,68.35
CSCO,2020-10-29,36.51
CSCO,2020-10-30,44.72
